Anaerococcus_tetradius	darkorchid4
Atopobium_vaginae	ivory2
BVAB1	lightgoldenrod
Conjugative_gene	black
Gardnerella	indianred1
Gardnerella_greenwoodii	burlywood4
Gardnerella_leopoldii	red
Gardnerella_pickettii	orange3
Gardnerella_piotii	orange
Gardnerella_swidsinskii	palevioletred1
Gardnerella_vaginalis	indianred4
Lactobacillus_crispatus	skyblue1
Lactobacillus_gasseri	lightskyblue1
Lactobacillus_iners	steelblue3
Lactobacillus_jensenii	steelblue4
Mageeibacillus_indolicus	black
Megasphaera_genomosp.	olivedrab3
Megasphaera_sp.	olivedrab2
Mobiluncus_mulieris	plum2
Peptoniphilus_lacrimalis	violetred
Peptostreptococcus_anaerobius	orange3
Prevotella_amnii	mediumpurple1
Prevotella_bivia	mediumpurple3
Prevotella_buccalis	mediumpurple4
Prevotella_melaninogenica	purple4
Prevotella_sp.	mediumorchid
Prevotella_timonensis	mediumorchid1
Ruminococcus_lactaris	lavenderblush2
Sneathia_amnii	pink
Sneathia_sanguinegens	pink3
Streptococcus_agalactiae	sandybrown
