Anaerococcus_tetradius	darkorchid4
Atopobium_vaginae	ivory2
BVAB1	lightgoldenrod
Gardnerella_vaginalis	indianred1
Lactobacillus_crispatus	skyblue1
Lactobacillus_gasseri	lightskyblue1
Lactobacillus_iners	steelblue3
Lactobacillus_jensenii	steelblue4
Lactobacillus_vaginalis	navy
Mageeibacillus_indolicus	black
Megasphaera_genomosp.	olivedrab
Megasphaera_sp.	olivedrab1	
Mobiluncus_mulieris	plum2
Peptoniphilus_lacrimalis	violetred
Peptostreptococcus_anaerobius	orange3
Prevotella_amnii	mediumpurple1
Prevotella_bivia	mediumpurple3
Prevotella_buccalis	mediumpurple4
Prevotella_melaninogenica	purple4
Prevotella_sp.	mediumorchid
Prevotella_timonensis	mediumorchid1
Ruminococcus_lactaris	lavenderblush2
Sneathia_amnii	pink
Sneathia_sanguinegens	pink3
Streptococcus_agalactiae	sandybrown
