sample_id	reads_start	reads_trim	reads_hg38	reads_t2t	reads_rRNA	reads_VIRGO_step1
001A	11529774	No data	No data	No data	11526323	9043823
001B	18141215	No data	No data	No data	18131277	13141425
002B	11256855	No data	No data	No data	11248648	8909541
003A	17233260	No data	No data	No data	17232338	14335874
004B	14249796	No data	No data	No data	14246038	11496579
006A	17180832	No data	No data	No data	17178586	10902935
006B	7112755	No data	No data	No data	7110777	5689910
008A	18855577	No data	No data	No data	18854714	14923343
008B	11685400	No data	No data	No data	11680997	9228817
009A	21456680	No data	No data	No data	21455377	16349884
009B	10113802	No data	No data	No data	10109407	7385305
010A	22697850	No data	No data	No data	22697318	16640006
010B	7204900	No data	No data	No data	7201440	5289946
012A	19938194	No data	No data	No data	19936417	14729348
012B	13018259	No data	No data	No data	13017707	10218910
013A	10965178	No data	No data	No data	10964875	8997171
013B	5639395	No data	No data	No data	5638162	4209719
014B	21208465	No data	No data	No data	21208119	15793215
015B	3883836	No data	No data	No data	3869717	1080758
016B	19961616	No data	No data	No data	19956411	15305034
017B	29841765	No data	No data	No data	29838424	21593088
018B	15192490	No data	No data	No data	15190744	11311170
019A	14709777	No data	No data	No data	14707000	11479866
020B	8730630	No data	No data	No data	8723026	4994010
ERR2014354_1	20231269	20157329	13341104	13286217	13251442	8909042
ERR2014355_1	17819627	17755989	725276	656791	655729	407051
ERR2014356_1	17244904	17181628	3906776	3847101	3839468	2557691
ERR2014357_1	19093290	19024689	3247923	3165933	3163765	2224334
ERR2014358_1	17180797	17118168	11432699	11407454	11384772	8056715
ERR2014359_1	16658551	16607309	12882792	12865824	12851616	9284848
ERR2014360_1	12947478	12907490	10063707	10053340	10041501	7018761
ERR2014361_1	18601417	18542965	15396727	15380468	15349199	10715493
ERR2014362_1	16030603	15981081	2503137	2438228	2434025	1616548
ERR2014363_1	14476822	14434146	13722534	13719075	13711202	8112786
ERR2014364_1	14611796	14565797	13153164	13146382	13136888	7889556
ERR2014365_1	18472035	18399659	17156132	17149135	17133887	10741543
ERR2014366_1	29489388	29353719	1425528	1329521	1326995	974858
ERR2014367_1	17026393	16947159	14820137	14813442	14753942	10453288
ERR2014368_1	16567572	16490417	4000053	3961035	3951913	2374485
ERR2014369_1	18103426	18018655	8418151	8391361	8365906	5797609
ERR2014370_1	11941543	11905410	11170893	11167344	11153293	6767831
ERR2014371_1	18204034	18149518	16801475	16795557	16762433	10265316
ERR2014372_1	18671542	18620022	15172653	15153595	15142770	10504137
ERR2014373_1	15466035	15420230	2016565	1961352	1956999	1125977
ERR2014374_1	16220593	16175296	12644423	12624485	12613776	8491993
ERR2014375_1	17515672	17465399	11397010	11369930	11359493	7650809
ERR2014376_1	15859779	15800491	14882832	14878423	14854480	9640620
ERR2014377_1	21817936	21737095	2076079	2012014	2009356	1548898
ERR2014378_1	15515889	15463069	13537008	13527624	13505625	9822982
ERR2014379_1	16510520	16451292	8021363	8006262	7990316	5212180
ERR2014380_1	18717867	18628285	11030475	10997521	10966511	6907550
ERR2014381_1	18954011	18863029	6102371	6053744	6041660	3895934
ERR2014382_1	17114691	17033090	5886410	5841811	5828002	3781671
ERR2014383_1	15068696	15000515	12222271	12207136	12199282	8697600
ERR2014384_1	20249443	20181587	8005783	7961743	7942305	5287706
ERR2014385_1	17151022	17079353	4409306	4344661	4333207	2956288
ERR2014386_1	16782727	16726774	7717984	7674106	7655724	5002647
ERR2014387_1	12974413	12933442	2144718	2106234	2101572	1190586
ERR2014388_1	24491795	24398045	24038277	24036946	23976579	15771343
ERR2014389_1	21093658	21015421	1727843	1659394	1658049	998070
ERR2014390_1	12473047	12427963	11662036	11657701	11647982	8080662
ERR2014391_1	12645826	12601463	11473347	11468173	11455643	8179807
ERR2014392_1	12454989	12410792	10963198	10955567	10941491	7307295
ERR2014393_1	16306945	16248937	14744723	14738167	14722660	9883928
