sample.id	reads.raw	reads.trim	reads.hg38	reads.t2t	reads.rRNA	reads.virgo
SRR6743920_1	48333036	46682498	17642960	17586633	17575063	12018735
SRR6743924_1	54664350	53705611	48353755	48350778	48343617	35980162
SRR6743927_1	73933858	71959027	67466934	67463312	67442661	39445544
SRR6743930_1	48853325	46471847	2869485	2860159	2843172	1869093
SRR6743933_1	42738708	39956502	14613563	14604820	14592357	10857390
SRR6743936_1	7563609	7323463	4173699	4172666	4170378	2597235
SRR6743938_1	36253041	34124081	6826737	6768059	6762082	4159184
SRR6743943_1	52735338	51162491	6649315	6565864	6508106	3324097
SRR6743949_1	54196083	53439543	49442443	49436597	49432345	39266835
SRR6743950_1	22284023	21596385	15276553	15269486	15266764	11325580
SRR6743960_1	64443367	62028249	36774256	36752888	36734203	28620514
SRR6743965_1	42260052	40920095	32204149	32190746	32185919	26485783
SRR6743966_1	53554540	51298888	47659822	47656886	47652535	36521898
SRR6743967_1	20898038	19871507	1538263	1529096	1502395	836515
SRR6743968_1	39164979	37393510	12191693	12175152	12161783	8636403
SRR6743971_1	51291775	49132236	46774809	46772203	46766477	10698395
SRR6743974_1	38236868	35454135	10510161	10489546	10476969	6998604
SRR6743975_1	52492042	49477591	17472126	17377742	17370136	12770502
SRR6743977_1	30950118	30142038	13493516	13357417	13355519	9554264
SRR6743984_1	79384298	77050613	37074802	36975661	36946067	27404782
SRR6743990_1	68885102	66906876	47582824	47550349	47532427	33849280
SRR6743993_1	43300116	42113424	20165880	20154556	20151213	14783647
SRR6743995_1	62369759	60677700	21299200	21290280	21274915	8475152
SRR6744018_1	34433330	31275739	22229501	22223834	22220322	17701031
SRR6744021_1	95596794	94158650	75759819	75672921	75661300	59797516
SRR6744029_1	3309457	3059399	3034275	3034138	3030553	720767
SRR6744030_1	49228993	47663899	39832627	39819693	39808654	27427210
SRR6744032_1	61935000	60996537	55685437	55681523	55678381	43718084
SRR6744035_1	38584700	36683614	10885826	10881615	10877476	3803326
SRR6744038_1	45609595	44390695	39455564	39450804	39441390	29195066
SRR6744047_1	38634614	37381625	37001682	37000746	36998153	26271834
SRR6744055_1	55343457	54588048	52560944	52559868	52547627	27213250
SRR6744056_1	17498624	16039424	6263719	6258828	6256937	4166244
SRR6744057_1	64610687	62617625	56900609	56899028	56860927	23512330
SRR6744058_1	76261380	74890969	45115737	45084717	45065625	34284027
SRR6744059_1	57420425	55995963	42678343	42668919	42653783	30829669
SRR6744060_1	80598219	78843795	58174431	58162560	58146320	41153937
SRR6744074_1	12614645	12203741	9136846	9133439	9127675	6234951
SRR6744075_1	50649822	48156982	29365819	29355445	29350243	21941833
SRR6744086_1	50090584	48975734	48537526	48536607	48514537	22209558
SRR6744087_1	47276286	45955612	32490714	32468654	32464949	24285805
SRR6744092_1	30585450	29624761	22013661	21999022	21993523	15305114
SRR6744094_1	72021369	70310343	68372891	68371296	68356378	37489888
SRR6744095_1	91084939	88804140	88205711	88202066	88170189	40050051
SRR6744097_1	80878189	78990567	78520066	78519433	78420471	24821485
SRR6744099_1	52695034	51547164	41468547	41451110	41442416	33544306
SRR6744101_1	15067463	14493683	3986536	3981260	3974932	2304138
SRR6744105_1	58816582	57172822	54248000	54246128	54242019	39462977
SRR6744107_1	32807666	31416069	20147974	20142114	20137289	14393125
SRR6744108_1	35093007	34042349	19903493	19898013	19887027	14849322
SRR6744114_1	67706276	66590531	66296097	66295653	66279044	16456770
SRR6744116_1	30008250	29175639	16436206	16424429	16422562	12890079
