Gene,Non-unique Gene name,Annotation,gardnerella_leopoldii_UGent06.41,gardnerella_leopoldii_UMB6774,gardnerella_piotii_JNFY15,gardnerella_piotii_UGhent18.01,gardnerella_swidsinskii_GS9838-1,gardnerella_swidsinskii_JNFY3,gardnerella_vaginalis_ATCC14018,gardnerella_vaginalis_NR001
group_2369,,dihydroorotate dehydrogenase,GPLCAFGD_00679,IJGDKHFC_00877,NCOBLFIM_01199,CHHPJEJH_00644,MEHEBMPK_00620,JPHLBIEJ_00245,HBKJMDBP_00790,LDEEJEMD_01393
mltG,mltG;,endolytic transglycosylase MltG;Endolytic murein transglycosylase;hypothetical protein,GPLCAFGD_00142,IJGDKHFC_00706,NCOBLFIM_01017,CHHPJEJH_00443,MEHEBMPK_00402,JPHLBIEJ_01000,HBKJMDBP_00472,LDEEJEMD_00655
group_2361,,Lrp/AsnC family transcriptional regulator;AsnC family transcriptional regulator;hypothetical protein,GPLCAFGD_01128,IJGDKHFC_00265,NCOBLFIM_00712,CHHPJEJH_00135,MEHEBMPK_00127,JPHLBIEJ_00742,HBKJMDBP_00146,LDEEJEMD_00354;LDEEJEMD_00353
truA,truA;,tRNA pseudouridine(38-40) synthase TruA;tRNA pseudouridine synthase A,GPLCAFGD_00057,IJGDKHFC_00795,NCOBLFIM_00876,CHHPJEJH_00300,MEHEBMPK_00314,JPHLBIEJ_00913,HBKJMDBP_00316,LDEEJEMD_00167
pyrE,pyrE;,orotate phosphoribosyltransferase,GPLCAFGD_00678,IJGDKHFC_00876,NCOBLFIM_01200,CHHPJEJH_00645,MEHEBMPK_00619,JPHLBIEJ_00244,HBKJMDBP_00789,LDEEJEMD_01394
murA,murA,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,GPLCAFGD_01218,IJGDKHFC_00355,NCOBLFIM_00794,CHHPJEJH_00218,MEHEBMPK_00236,JPHLBIEJ_00836,HBKJMDBP_01203,LDEEJEMD_01582
group_2359,,proline--tRNA ligase,GPLCAFGD_00781,IJGDKHFC_00980,NCOBLFIM_00175,CHHPJEJH_00838,MEHEBMPK_00720,JPHLBIEJ_00354,HBKJMDBP_00607,LDEEJEMD_00830
group_2356,,methyltransferase;16S rRNA methyltransferase,GPLCAFGD_00376,IJGDKHFC_00620,NCOBLFIM_00330,CHHPJEJH_00967,MEHEBMPK_00927,JPHLBIEJ_01215,HBKJMDBP_01014,LDEEJEMD_01119
group_2355,,ATP-dependent endonuclease;PIF1 family DEAD/DEAH box helicase;AAA family ATPase,GPLCAFGD_00782,IJGDKHFC_00981,NCOBLFIM_00176,CHHPJEJH_00839,MEHEBMPK_00721,JPHLBIEJ_00355,HBKJMDBP_00606,LDEEJEMD_00829
radA,radA;,DNA repair protein RadA;hypothetical protein,GPLCAFGD_00065,IJGDKHFC_00783,NCOBLFIM_00891,CHHPJEJH_00315,MEHEBMPK_00327,JPHLBIEJ_00925,HBKJMDBP_01152,LDEEJEMD_00619;LDEEJEMD_00618
group_2353,,hypothetical protein,GPLCAFGD_00156,IJGDKHFC_00692,NCOBLFIM_00322,CHHPJEJH_00959,MEHEBMPK_00417,JPHLBIEJ_01014,HBKJMDBP_01006,LDEEJEMD_01128
