Gene,Non-unique Gene name,Annotation,Gardnerella_greenwoodii_00703Dmash,Gardnerella_greenwoodii_101,Gardnerella_greenwoodii_c31Ua_26,Gardnerella_greenwoodii_UMB1686,Gardnerella_leopoldii_Ugent_06.41,Gardnerella_leopoldii_UMB0682,Gardnerella_leopoldii_UMB0742,Gardnerella_leopoldii_UMB0913,Gardnerella_leopoldii_UMB1489,Gardnerella_pickettii_00703Bmash,Gardnerella_pickettii_00703C2mash,Gardnerella_pickettii_c17Ua_112,Gardnerella_pickettii_GED7275B,Gardnerella_pickettii_JCP7659,Gardnerella_pickettii_JCP7719,Gardnerella_pickettii_JCP8017A,Gardnerella_pickettii_JCP8017B,Gardnerella_pickettii_UMB0830,Gardnerella_pickettii_UMB0833,Gardnerella_pickettii_UMB9259,Gardnerella_piotii_GH007,Gardnerella_piotii_GH020,Gardnerella_piotii_JNFY15,Gardnerella_piotii_UGent_18.01,Gardnerella_swidsinskii_GS_9838-1,Gardnerella_swidsinskii_GV37,Gardnerella_swidsinskii_JNFY3,Gardnerella_swidsinskii_UMB0170,Gardnerella_swidsinskii_UMB0264,Gardnerella_swidsinskii_UMB0411,Gardnerella_swidsinskii_UMB1698,Gardnerella_vaginalis_0288E,Gardnerella_vaginalis_1400E,Gardnerella_vaginalis_1500E,Gardnerella_vaginalis_284V,Gardnerella_vaginalis_315-A,Gardnerella_vaginalis_55152,Gardnerella_vaginalis_6119V5,Gardnerella_vaginalis_75712,Gardnerella_vaginalis_ATCC_14018-2,Gardnerella_vaginalis_ATCC_14018-3,Gardnerella_vaginalis_ATCC_14018,Gardnerella_vaginalis_ATCC_14019,Gardnerella_vaginalis_HMP9231
tkt,tkt,transketolase,KJLOJH_04870,LNJOGA_03720,HJJLOO_02790,EPDCMN_01500,GPKCOC_03290,IHLOPM_01580,CLAOCJ_01725,GHNAGB_04200,IJGNPO_04110,KPEAED_02605,ELBENF_04220,LGGJCL_02305,DIAHAC_05295,IBBMBI_00350,EIINPM_02910,EHJGFL_03620,IKLBLD_01375,LFGIBF_03485,BMHCBD_00715,HEOCGC_02480,HIANCF_00805,PHGDKJ_03465,LJKDMD_00095,LEAIBD_03400,AJAHNJ_03000,PKJNEJ_05090,AMDBBD_01125,GPDHPC_03115,JCPCII_02630,NBEOAO_00385,PCCNPO_01460,PHLMCF_05220,PKBKFP_06160,PIBPLO_01660,ANPMBA_00285,BAFCMA_02775,BLBGDF_01130,EHBDBJ_05335,HJLJNF_04210,BAJPIG_03760,APGEGG_02370,NEBDOP_03255,MGPBOF_03940,DFCAKE_03805
rplA,rplA,50S ribosomal protein L1,KJLOJH_00310,LNJOGA_00460,HJJLOO_04140,EPDCMN_00150,GPKCOC_04485,IHLOPM_00170,CLAOCJ_00550,GHNAGB_05380,IJGNPO_05285,KPEAED_04500,ELBENF_05775,LGGJCL_04475,DIAHAC_04025,IBBMBI_02895,EIINPM_02495,EHJGFL_01835,IKLBLD_03180,LFGIBF_01265,BMHCBD_03495,HEOCGC_01775,HIANCF_03040,PHGDKJ_01240,LJKDMD_04100,LEAIBD_01210,AJAHNJ_05635,PKJNEJ_06620,AMDBBD_02495,GPDHPC_01930,JCPCII_05970,NBEOAO_05005,PCCNPO_00195,PHLMCF_06605,PKBKFP_05740,PIBPLO_03880,ANPMBA_01090,BAFCMA_04925,BLBGDF_02830,EHBDBJ_00005,HJLJNF_06365,BAJPIG_05875,APGEGG_06395,NEBDOP_01120,MGPBOF_01780,DFCAKE_05825
fusA,fusA,elongation factor G,KJLOJH_05565,LNJOGA_05750,HJJLOO_03710,EPDCMN_00580,GPKCOC_03995,IHLOPM_00665,CLAOCJ_01030,GHNAGB_04885,IJGNPO_04800,KPEAED_00640,ELBENF_02685,LGGJCL_00665,DIAHAC_01375,IBBMBI_01445,EIINPM_01960,EHJGFL_04595,IKLBLD_02355,LFGIBF_05230,BMHCBD_05080,HEOCGC_05780,HIANCF_05325,PHGDKJ_05180,LJKDMD_01855,LEAIBD_05060,AJAHNJ_03680,PKJNEJ_06080,AMDBBD_01950,GPDHPC_02445,JCPCII_04265,NBEOAO_05545,PCCNPO_00720,PHLMCF_02390,PKBKFP_03865,PIBPLO_02250,ANPMBA_01665,BAFCMA_04345,BLBGDF_04290,EHBDBJ_03740,HJLJNF_05790,BAJPIG_05310,APGEGG_00665,NEBDOP_01695,MGPBOF_02355,DFCAKE_05255
group_2311,mdh,Malate/lactate dehydrogenase,KJLOJH_03925,LNJOGA_02815,HJJLOO_00760,EPDCMN_02475,GPKCOC_02275,IHLOPM_02575,CLAOCJ_02710,GHNAGB_03130,IJGNPO_03085,KPEAED_01465,ELBENF_03195,LGGJCL_02675,DIAHAC_04930,IBBMBI_05405,EIINPM_00615,EHJGFL_02360,IKLBLD_05910,LFGIBF_03140,BMHCBD_01075,HEOCGC_04110,HIANCF_01145,PHGDKJ_03125,LJKDMD_05860,LEAIBD_03070,AJAHNJ_05055,PKJNEJ_03670,AMDBBD_00035,GPDHPC_01120,JCPCII_02975,NBEOAO_01520,PCCNPO_05625,PHLMCF_05510,PKBKFP_03335,PIBPLO_03100,ANPMBA_00670,BAFCMA_03125,BLBGDF_02955,EHBDBJ_01505,HJLJNF_04595,BAJPIG_04115,APGEGG_05070,NEBDOP_02900,MGPBOF_03585,DFCAKE_04130
eutG,eutG,Alcohol dehydrogenase class IV,KJLOJH_03390,LNJOGA_02370,HJJLOO_01200,EPDCMN_02915,GPKCOC_01805,IHLOPM_03040,CLAOCJ_03180,GHNAGB_02670,IJGNPO_02620,KPEAED_00675,ELBENF_00030,LGGJCL_01270,DIAHAC_00770,IBBMBI_03360,EIINPM_01055,EHJGFL_01275,IKLBLD_04820,LFGIBF_04595,BMHCBD_04445,HEOCGC_04825,HIANCF_05945,PHGDKJ_04570,LJKDMD_01155,LEAIBD_04455,AJAHNJ_04540,PKJNEJ_03165,AMDBBD_06005,GPDHPC_01625,JCPCII_03360,NBEOAO_02025,PCCNPO_05130,PHLMCF_04205,PKBKFP_00290,PIBPLO_03460,ANPMBA_03545,BAFCMA_01775,BLBGDF_05970,EHBDBJ_02495,HJLJNF_03195,BAJPIG_02710,APGEGG_03425,NEBDOP_04305,MGPBOF_05035,DFCAKE_02775
atpG,;atpG,hypothetical protein;F0F1 ATP synthase subunit gamma,KJLOJH_01245,LNJOGA_04745,HJJLOO_05100,EPDCMN_04710,GPKCOC_05840,IHLOPM_04140,CLAOCJ_05015,GHNAGB_00780,IJGNPO_00785,KPEAED_04100,ELBENF_06180,LGGJCL_04860,DIAHAC_03640,IBBMBI_03245,EIINPM_01915,EHJGFL_00380,IKLBLD_02150,LFGIBF_00845,BMHCBD_03090,HEOCGC_02195,HIANCF_03430,PHGDKJ_00855,LJKDMD_03725,LEAIBD_00835,AJAHNJ_00855,PKJNEJ_00885,AMDBBD_03940,GPDHPC_05295,JCPCII_00265,NBEOAO_03960,PCCNPO_04235,PHLMCF_00705,PKBKFP_01140,PIBPLO_00020,ANPMBA_05545,BAFCMA_06420,BLBGDF_00980,EHBDBJ_02520,HJLJNF_01330,BAJPIG_00995,APGEGG_01230,NEBDOP_06020,MGPBOF_00020,DFCAKE_00670
atpC,atpC,F0F1 ATP synthase subunit epsilon,KJLOJH_01255,LNJOGA_04755,HJJLOO_05110,EPDCMN_04700,GPKCOC_05850,IHLOPM_04150,CLAOCJ_05005,GHNAGB_00790,IJGNPO_00795,KPEAED_04110,ELBENF_06170,LGGJCL_04850,DIAHAC_03650,IBBMBI_03235,EIINPM_01905,EHJGFL_00370,IKLBLD_02160,LFGIBF_00855,BMHCBD_03100,HEOCGC_02185,HIANCF_03420,PHGDKJ_00865,LJKDMD_03735,LEAIBD_00845,AJAHNJ_00865,PKJNEJ_00895,AMDBBD_03950,GPDHPC_05305,JCPCII_00275,NBEOAO_03950,PCCNPO_04225,PHLMCF_00695,PKBKFP_01150,PIBPLO_00010,ANPMBA_05555,BAFCMA_06410,BLBGDF_00990,EHBDBJ_02510,HJLJNF_01340,BAJPIG_01005,APGEGG_01220,NEBDOP_06010,MGPBOF_00010,DFCAKE_00680
gatC,gatC,Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatC,KJLOJH_01035,LNJOGA_04535,HJJLOO_04890,EPDCMN_04920,GPKCOC_05625,IHLOPM_03925,CLAOCJ_05230,GHNAGB_00565,IJGNPO_00570,KPEAED_03975,ELBENF_00285,LGGJCL_04985,DIAHAC_03515,IBBMBI_05830,EIINPM_05990,EHJGFL_00825,IKLBLD_00105,LFGIBF_00715,BMHCBD_02970,HEOCGC_02310,HIANCF_03550,PHGDKJ_00735,LJKDMD_03610,LEAIBD_00715,AJAHNJ_00600,PKJNEJ_00635,AMDBBD_03690,GPDHPC_05075,JCPCII_01635,NBEOAO_04210,PCCNPO_04485,PHLMCF_00910,PKBKFP_00935,PIBPLO_00235,ANPMBA_05340,BAFCMA_06625,BLBGDF_00775,EHBDBJ_02735,HJLJNF_01120,BAJPIG_00695,APGEGG_01535,NEBDOP_06325,MGPBOF_00325,DFCAKE_06555
lCB5,;lCB5,Diacylglycerol kinase catalytic domain protein;DAGKc domain-containing protein;Phosphatidylglycerol kinase diacylglycerol kinase family,KJLOJH_02415,LNJOGA_01045,HJJLOO_02205,EPDCMN_03920,GPKCOC_00355,IHLOPM_04880,CLAOCJ_04295,GHNAGB_01510,IJGNPO_01525,KPEAED_04900,ELBENF_05375,LGGJCL_04070,DIAHAC_04430,IBBMBI_02920,EIINPM_04525,EHJGFL_02170,IKLBLD_00165,LFGIBF_01665,BMHCBD_03910,HEOCGC_01375,HIANCF_02635,PHGDKJ_01640,LJKDMD_04500,LEAIBD_01610,AJAHNJ_01670,PKJNEJ_01630,AMDBBD_04675,GPDHPC_03500,JCPCII_01010,NBEOAO_03215,PCCNPO_03465,PHLMCF_02825,PKBKFP_05595,PIBPLO_04715,ANPMBA_01235,BAFCMA_04780,BLBGDF_06410,EHBDBJ_00265,HJLJNF_06225,BAJPIG_05735,APGEGG_01095,NEBDOP_01265,MGPBOF_01925,DFCAKE_05685
aroQ,aroQ,type II 3-dehydroquinate dehydratase;3-dehydroquinate dehydratase,KJLOJH_02685,LNJOGA_01330,HJJLOO_01950,EPDCMN_03665,GPKCOC_00735,IHLOPM_05265,CLAOCJ_03925,GHNAGB_01880,IJGNPO_01900,KPEAED_05480,ELBENF_01640,LGGJCL_03535,DIAHAC_02065,IBBMBI_04685,EIINPM_05890,EHJGFL_01500,IKLBLD_00345,LFGIBF_02335,BMHCBD_02155,HEOCGC_00140,HIANCF_01985,PHGDKJ_02295,LJKDMD_05125,LEAIBD_02245,AJAHNJ_02040,PKJNEJ_02000,AMDBBD_05045,GPDHPC_03870,JCPCII_04390,NBEOAO_02845,PCCNPO_03095,PHLMCF_03880,PKBKFP_01600,PIBPLO_04455,ANPMBA_03885,BAFCMA_05320,BLBGDF_02125,EHBDBJ_04195,HJLJNF_02760,BAJPIG_02380,APGEGG_06130,NEBDOP_04635,MGPBOF_05375,DFCAKE_02175
