#name	length
ettA	1677
group_2225	507
group_2159	1410
group_1390	1227
group_1410	1437
def	654
group_2270	2616
group_656	1446
group_409	1365
group_410	1014
group_7	1011
group_705	1824
group_906	1677
group_1978	981
group_2176	1647
group_348	1941
group_2177	657
group_878	1164
secE	228
obgE~~~cgtA	1683
rplU	309
gpsA	996
group_2209	2325
group_955	933
nagC	1041
nanE	669
dppB	957
group_345	2025
ahpC	564
group_135	2769
dps	480
ppc	2757
trpS	1092
group_712	1653
group_1749	1467
group_1544	2091
yidD	336
group_1462	1428
group_1971	984
group_440	1659
malK	1128
group_2067	1335
group_2190	852
upp	639
group_1256	315
hemY	1620
group_734	1206
fbaA	1056
purA	1302
group_1371	426
group_1417	1134
recR	609
ansP	1608
group_944	1089
atpE	234
atpH	582
group_1188	726
tpd	645
group_386	2199
group_677	1452
group_333	594
nrdE	2235
brnQ	1557
group_2220	843
group_2273	1065
group_2244	1293
murA	1497
group_574	1926
group_223	2421
rpsO	360
gpsI	2802
pdxI	864
rplJ	522
group_1316	303
group_1300	306
group_2099	1740
group_1542	207
group_832	1311
rplM	450
rpsI	489
rpsJ	309
rplC	651
rplD	666
rplW	297
rplB	831
rpsS	279
rplV	360
rplP	420
rpsQ	267
rplN	369
rplX	336
group_194	573
rpsZ	186
rpsH	399
rplF	540
rplR	372
rpsE	729
rpmD	183
rplO	456
adk	561
rpsM	378
rpsK	399
rpoA	996
rplQ	435
group_425	1257
group_2392	1080
group_842	1104
pfkB	1149
group_352	1890
dppC	948
group_115	264
group_1037	1608
group_1033	270
group_1032	450
tmk	720
iNO1	1143
group_1134	1062
group_686	732
thiG	825
thiO	1071
malE	1230
group_359	606
group_1204	1380
group_140	402
group_747	558
group_1813	90
rpiA	699
pgm	1674
ptrB	2613
group_1571	726
group_1573	1155
group_1391	993
rpoC	4020
group_294	1281
group_1105	1788
rpmB	195
recG	2436
rpsF	297
ssb	609
rpsR	249
group_1176	1212
group_1287	465
pyrG	1683
sufC	777
group_455	1278
argE	1368
group_52	609
group_2088	6399
group_636	1707
group_1115	348
group_488	933
group_818	1794
group_905	651
group_960	747
uppS	795
group_1936	1569
sepF	465
group_850	864
group_964	1458
ybaK	501
gap	1056
asnB	1887
rpmI	195
rplT	384
xerC~~~xerD	996
group_2178	870
oppA	1638
group_1259	927
lsa	1479
group_351	609
uvrB	2115
group_380	1053
group_1261	753
group_2362	912
group_1537	429
group_826	1575
group_383	1941
mdh	963
group_393	2328
nrdR	456
greA	480
group_1728	1185
group_1132	987
group_2045	420
group_681	276
group_468	1875
group_1623	234
group_171	996
group_554	411
group_1732	174
group_2062	633
pyk	1440
group_1007	1089
group_1019	789
glgX	2130
ackA	1230
guaA	1563
group_1217	1389
yraN	612
group_458	1890
group_1360	1383
proC	807
ychF	1089
marR	384
group_2310	834
eno	1296
group_805	909
group_892	4827
group_1309	2625
argG	1215
group_1396	1320
group_1399	930
raiA	672
group_2116	552
group_1242	711
rpoD	1506
group_1211	2286
group_1146	1188
group_1168	201
group_1989	969
group_1274	258
group_1214	294
group_1539	267
group_419	1974
group_586	1752
group_1374	294
spoT	2352
himA	282
aglD2	2436
purB	1443
group_2265	1653
group_958	1155
group_792	945
group_2131	1320
group_961	390
bH3996	2193
group_1755	159
group_601	1743
group_363	1371
group_2202	813
hisM	1152
qRI1	1440
rbpA	348
gph	735
fHA	441
group_1381	333
frr	555
pyrH	750
tsf	852
group_1448	489
guaB~~~guaB3	1131
group_1455	1602
group_1459	777
group_707	2331
rsuA	774
ruvC	582
tACO1	759
thrS	2031
group_1311	933
rpsT	261
group_550	1170
group_839	2052
group_62	4005
group_1378	798
group_1403	1260
group_92	936
pflA	882
pflB	2376
group_56	5940
tal	1104
group_1097	561
secG	249
whiA	948
rpoZ	285
pyrF	912
group_695	2568
pyrB	1269
sixA	558
group_452	861
tsaE	573
group_1304	1812
group_1121	1494
group_535	405
group_1933	1020
group_461	531
recA	1143
group_2349	693
group_1201	684
group_1438	498
group_1443	1203
group_1444	405
group_674	1833
group_197	2544
ilvB	1752
group_518	1803
nikD	1605
pdxS	936
pgi	1695
group_325	2421
group_779	1923
group_925	1011
group_1325	1329
lspA	612
dnaE	3567
glnA	1338
group_2195	651
mraY	1104
group_729	1200
murC	1605
rpsL	372
rpsG	471
fusA	2130
tuf	1200
trxA	345
ylqC	234
rpsP	483
group_1535	1302
group_997	1038
group_544	1749
rplS	369
group_87	705
group_11	9249
rfe	1104
guaB	1545
prfB	1143
ftsX	924
group_204	2529
group_2348	1344
group_1801	1146
pucR	1404
group_631	2400
group_693	615
group_660	4794
group_843	1149
group_844	1524
radA	1524
group_1279	1347
group_1091	354
group_1701	189
group_1160	1170
fni	2466
group_884	1191
group_1527	270
group_1165	1194
group_688	852
group_2046	2010
group_2047	873
group_690	474
group_1093	1443
yycO	732
group_1834	180
group_1836	549
group_1837	120
group_1844	1440
group_322	2211
group_1859	1593
group_208	1299
group_1861	366
group_1862	2568
group_211	663
group_1848	2820
group_210	372
group_1849	420
group_1476	957
group_1333	1359
group_1554	3402
tauB	876
group_804	552
group_1373	741
group_1264	2448
group_1468	588
group_2172	657
hemW	1323
group_1137	1161
group_1257	1572
hrcA	1032
group_1098	1521
group_426	1200
carB	3396
pyrD	1032
group_965	1044
group_612	7233
group_1293	459
sIR2	846
group_645	1005
fluC	504
group_1187	639
apbE	1083
group_1632	945
pstS	1272
group_911	906
group_985	1461
group_732	1647
group_1030	1080
group_1031	267
ptsP	1659
group_1035	552
group_1038	1539
group_1154	981
group_2189	627
group_1956	984
group_2075	5997
group_2297	864
trmD	837
coaD	591
group_1094	2655
inlB	9480
recD	1467
group_185	2577
group_1645	1239
group_1016	375
group_682	915
group_1167	333
group_2012	906
group_659	1974
ubiC~~~gntR~~~frlR	735
group_783	1782
group_162	2658
group_120	2841
group_291	2283
group_1222	1341
group_1865	318
group_1103	96
group_1748	1173
group_1758	153
group_667	483
group_1721	180
group_598	1746
group_886	414
group_1524	1833
group_40	5553
group_1825	1131
group_346	2154
group_397	2022
group_47	678
rfaB	1371
lysS	1698
group_885	414
group_494	552
group_232	2430
group_1170	1167
group_1334	1356
group_0	9804
group_2374	441
group_610	2907
group_80	3435
group_2170	4005
thiC	2661
fmt	987
group_2366	1956
group_2197	1815
group_2256	1050
group_432	1071
group_175	2604
group_708	1656
group_2334	1032
group_982	1020
group_1429	285
group_166	321
group_2060	1653
group_272	2325
group_1867	213
group_1395	291
msrD	1464
group_1735	171
group_450	1899
group_2237	1014
group_214	2499
group_969	1671
group_1297	555
group_797	1929
group_890	4317
group_528	9588
group_2127	885
group_838	1416
group_151	3375
group_1641	1242
group_934	1407
group_109	2952
group_2211	846
atpG	1005
group_900	1272
group_1076	312
group_2241	2514
group_399	843
group_806	5667
lepA	1890
group_1884	3234
group_2017	1128
group_39	1209
group_181	780
rpsC	819
secY	1344
group_2373	1002
nusA	1083
group_201	633
group_2228	1083
group_1263	1377
group_187	2364
group_1161	1149
group_556	1224
group_1707	1197
group_1851	1104
group_823	687
gpmA	741
group_1072	267
group_456	1146
group_167	276
group_651	1695
ileS	3447
group_993	1773
group_915	795
group_948	903
typA	1926
group_854	765
trmA	1434
group_405	585
group_463	558
group_1842	336
group_229	2439
group_1868	360
group_668	483
group_2369	768
group_1847	573
group_1741	165
group_218	657
group_888	414
group_2036	663
cadD	612
group_592	147
group_241	645
group_1594	924
sstT	1257
group_28	1590
rimI	456
hicB	456
group_1219	1590
group_1002	378
group_2002	126
group_2064	927
group_2091	1458
hflX	1539
group_2308	1929
group_1555	1299
group_1485	1434
group_1553	3495
group_811	1587
group_252	894
group_1335	1176
folD	885
group_626	5958
group_874	1428
group_983	1965
group_1024	3078
group_2128	885
group_2162	1104
group_1427	840
group_2375	765
uraA	1290
group_2311	915
folK	501
folP	1140
group_1773	138
group_1832	1110
group_2338	780
group_318	2214
group_523	1797
group_423	579
group_263	636
group_1364	1518
group_1398	1794
group_1327	2796
group_2115	669
pknB	2391
group_1109	1137
group_2352	867
group_1122	1260
group_2266	1608
group_438	591
group_2235	675
group_421	1971
group_600	1746
group_1888	177
group_672	1680
group_319	2214
group_478	1860
group_1805	96
group_1529	1626
